MCC,MCC Category,MCC Truncated,Dropdown Name
7998,"Aquariums, Sea-aquariums, Dolphinariums","Aquariums, Sea","7998:-Aquariums, Sea"
4215,Courier Services – Air or Ground,Courier Services,4215:-Courier Services
8641,"Civic, Fraternal, and Social Associations",Social Associations,8641:-Social Associations
8011,Doctors and Physicians (Not Elsewhere Classified),Doctors and Physicians,8011:-Doctors and Physicians
5733,"Music Stores, Musical Instruments, Piano Sheet Music",Music Stores,5733:-Music Stores
5192,"Books, Periodicals, and Newspapers","Books, Periodicals, and Newspapers","5192:-Books, Periodicals, and Newspapers"
7379,"Computer Maintenance and Repair Services, Not Elsewhere Classified",Computer Maintenance,7379:-Computer Maintenance
5948,Leather Foods Stores,Leather Foods Stores,5948:-Leather Foods Stores
7392,"Management, Consulting, and Public Relations Services",Public Relations Services,7392:-Public Relations Services
4816,computer networking services,computer networking services,4816:-computer networking services
8041,Chiropractors,Chiropractors,8041:-Chiropractors
6513,real estate agents & managers rentals,real estate agents,6513:-real estate agents
5631,Women’s Accessory and Specialty Shops,Womens Accessory,5631:-Womens Accessory
5039,"Construction Materials, Not Elsewhere Classified",Construction Materials,5039:-Construction Materials
5211,Lumber and Building Materials Stores,Building Materials,5211:-Building Materials
3351,AFFILIATED AUTO RENTAL,AFFILIATED AUTO RENTAL,3351:-AFFILIATED AUTO RENTAL
5561,"Recreational and Utility Trailers, Camp Dealers",Recreational and Utility Trailers,5561:-Recreational and Utility Trailers
5085,"Industrial Supplies, Not Elsewhere Classified",Industrial Supplies,5085:-Industrial Supplies
5441,Candy Stores,Candy Stores,5441:-Candy Stores
7631,"Watch, Clock, and Jewelry Repair","Watch, Clock, and Jewelry Repair","7631:-Watch, Clock, and Jewelry Repair"
5933,Pawn Shops and Salvage Yards,Pawn Shops and Salvage Yards,5933:-Pawn Shops and Salvage Yards
5074,Plumbing and Heating Equipment and Supplies,Plumbing and Heating Equipment,5074:-Plumbing and Heating Equipment
9311,Tax Payments,Tax Payments,9311:-Tax Payments
7333,"Commercial Photography, Art and Graphics","Commercial Photography, Art and Graphics",7333:-Photography
7311,Advertising Services,Advertising Services,7311:-Advertising Services
5198,"Paints, Varnishes, and Supplies",Paint Supplies,5198:-Paint Supplies
742,Veterinary Services,Veterinary Services,742:-Veterinary
5137,Men’s Women’s and Children’s Uniforms and Commercial Clothing,Uniforms and Commercial Clothing,5137:-Uniforms and Commercial Clothing
7342,Disinfecting Services,Disinfecting Services,7342:-Disinfecting Services
5937,Antique Reproductions,Antique Reproductions,5937:-Antique Reproductions
7841,Video Tape Rental Stores,Video Tape Rental Stores,7841:-Video Tape Rental Stores
8050,Nursing and Personal Care Facilities,Nursing and Personal Care Facilities,8050:-Nursing and Personal Care Facilities
763,Agricultural Co-operatives,Agricultural Co,763:-Agricultural Co
7991,Tourist Attractions and Exhibits,Tourist Attractions and Exhibits,7991:-Tourist Attractions and Exhibits
5971,Art Dealers and Galleries,Art Dealers and Galleries,5971:-Art Dealers and Galleries
7261,Funeral Service and Crematories,Funeral Service and Crematories,7261:-Funeral Service and Crematories
7299,Miscellaneous Personal Services ( not elsewhere classifies),Personal Services,7299:-Personal Services
5964,Direct Marketing – Catalog Merchant,"Direct Marketing, Catalog Merchant","5964:-Direct Marketing, Catalog Merchant"
8999,Professional Services ( Not Elsewhere Defined),Professional Services,8999:-Professional Services
5811,Caterers,Caterers,5811:-Caterers
1711,Air Conditioning Contractors – Sales and Installation,Air Conditioning,1711:-Air Conditioning
7394,"Equipment Rental and Leasing Services, Tool Rental, Furniture Rental, and Appliance Rental",Equipment Rental and Leasing Services,7394:-Equipment Rental and Leasing Services
5169,"Chemicals and Allied Products, Not Elsewhere Classified",Chemicals and Allied Products,5169:-Chemicals and Allied Products
